Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,28.508932,29.285189,25.875204,25.875204,24.729904,30697819
2020-03-04,19.498816,20.330519,15.072307,17.604382,16.825169,163121995
2020-03-05,18.482288,18.620907,14.194398,14.758108,14.104879,76636066
2020-03-06,14.323774,16.421515,14.194398,15.127754,14.458164,48436963
2020-03-09,13.861717,14.416186,12.577198,12.715815,12.152983,19915822
2020-03-10,14.000334,14.212880,12.041211,12.660368,12.099990,30257506
2020-03-11,12.475545,13.353454,11.237232,11.736254,11.216779,26767787
2020-03-12,10.165259,10.802898,8.150689,8.455647,8.081380,32529410
2020-03-13,10.165259,10.165259,8.326271,9.241144,8.832109,33800681
2020-03-16,8.178413,8.649711,7.956625,8.086001,7.728096,28543865
2020-03-17,8.409441,8.677435,7.854973,8.178413,7.816418,26956291
2020-03-18,7.688632,7.697873,6.237772,6.653624,6.359119,27016024
2020-03-19,6.376389,7.337469,5.942056,7.014028,6.703571,32734688
2020-03-20,7.466845,8.307789,6.662865,6.746035,6.447440,39321318
2020-03-23,6.884652,6.893894,6.062191,6.468801,6.182476,32844415
2020-03-24,7.189610,7.762561,6.755276,7.559256,7.224666,31530833
2020-03-25,7.559256,8.455647,7.337469,8.317030,7.948898,58532790
2020-03-26,7.919661,10.082089,7.919661,9.176456,8.770285,49394096
2020-03-27,8.816052,10.017401,8.566541,9.610790,9.185393,34636400
2020-03-30,9.980436,10.923033,9.786372,9.924989,9.485685,26720390
2020-03-31,10.156018,10.156018,8.658952,8.945428,8.549481,25022224
2020-04-01,8.363236,8.640470,8.113725,8.603505,8.222693,19110402
2020-04-02,8.769846,9.037839,8.224618,8.474129,8.099044,17720747
2020-04-03,8.326271,8.409441,7.605462,7.938143,7.586782,19052942
2020-04-06,8.548059,9.407485,8.344753,9.407485,8.991088,23876154
2020-04-07,10.442493,10.590352,9.407485,9.425967,9.008752,26071877
2020-04-08,9.010116,9.425967,8.917704,9.370520,8.955758,29512468
2020-04-09,9.499896,9.888025,9.111768,9.333556,8.920431,21033216
2020-04-13,9.333556,9.721684,9.204180,9.601549,9.176562,14198348
2020-04-14,9.860301,11.468260,9.777131,11.070891,10.580868,30098867
2020-04-15,10.784416,11.856388,10.534905,10.941515,10.457217,40857707
2020-04-16,11.375849,11.449778,10.775174,10.913792,10.430721,21373542
2020-04-17,11.283437,11.440537,10.913792,11.015444,10.734172,15375151
2020-04-20,10.719728,11.255714,10.507181,11.024685,10.743177,15607914
2020-04-22,11.089373,11.218749,10.183741,10.220706,9.959727,42576109
2020-04-23,9.878783,10.119053,8.973151,9.352038,9.113240,54742459
2020-04-24,9.065563,9.121010,7.633185,8.381718,8.167697,49948356
2020-04-27,8.723640,9.010116,8.511094,8.742123,8.518898,28292598
2020-04-28,8.862257,9.010116,8.233860,8.317030,8.104660,38262033
2020-04-29,8.492612,9.564584,8.418683,9.472173,9.230307,55309055
2020-04-30,9.241144,9.841819,9.102527,9.444450,9.203293,34758788
2020-05-04,9.065563,9.194939,8.705158,8.862257,8.635965,19763352
2020-05-05,8.973151,9.121010,8.298548,8.326271,8.113666,28783121
2020-05-06,8.335512,8.594264,8.243101,8.446406,8.230734,19438500
2020-05-07,8.612747,8.658952,7.864214,7.864214,7.663406,23916949
2020-05-08,8.086001,8.492612,7.928902,8.353994,8.140681,25405185
2020-05-11,7.300504,7.383674,7.041752,7.115681,6.933987,61817881
2020-05-12,7.245057,7.919661,7.069475,7.429880,7.240163,55218915
2020-05-13,7.494568,7.633185,6.792241,6.847688,6.672837,33877079
2020-05-14,6.727553,7.115681,6.478042,6.505766,6.339645,53163650
2020-05-15,6.496524,6.764518,6.191567,6.191567,6.033470,74778180
2020-05-18,6.357907,6.792241,6.200808,6.792241,6.618806,42605543
2020-05-19,6.681347,7.097199,6.515007,6.515007,6.348651,35770243
2020-05-20,6.672106,7.087958,6.607418,7.032511,6.852941,31732756
